Time,Cash,Path
15:36:47,10.08398603419991,"['BTC/BUSD', 'BTC/USDT']"
15:37:08,10.081223376990406,"['BTC/BUSD', 'BTC/USDT']"
15:37:29,10.0958007442137,"['ZIL/BUSD', 'ZIL/USD']"
15:37:51,10.100467560338904,"['ZIL/BUSD', 'ZIL/USD']"
15:38:12,10.095428649974487,"['BTC/BUSD', 'BTC/USDT']"
15:38:33,10.096384411315098,"['BTC/BUSD', 'BTC/USDT']"
15:38:55,10.097502945915393,"['BTC/BUSD', 'BTC/USDT']"
15:39:16,10.09246551453462,"['BTC/BUSD', 'BTC/USDT']"
15:39:37,10.087466827332447,"['BTC/BUSD', 'BTC/USDT']"
15:39:59,10.082470615925084,"['BTC/BUSD', 'BTC/USDT']"
15:40:20,10.08307291671939,"['BTC/BUSD', 'BTC/USDT']"
15:40:41,10.083675253493588,"['BTC/BUSD', 'BTC/USDT']"
15:41:03,10.082324581051322,"['BTC/BUSD', 'BTC/USDT']"
15:41:24,10.08248200588064,"['BTC/BUSD', 'BTC/USDT']"
15:41:45,10.083917094054113,"['BTC/BUSD', 'BTC/USDT']"
15:42:07,10.085321020238382,"['BTC/BUSD', 'BTC/USDT']"
15:42:28,10.087584445781523,"['BTC/BUSD', 'BTC/USDT']"
15:42:49,10.083231797456131,"['BTC/BUSD', 'BTC/USDT']"
15:43:11,10.08044103771387,"['BTC/BUSD', 'BTC/USDT']"
15:43:32,10.105149294858025,"['ZIL/BUSD', 'ZIL/USD']"
15:43:53,10.155029463448834,"['ZIL/BUSD', 'ZIL/USD']"
15:44:14,10.156152821167947,"['BTC/BUSD', 'BTC/USDT']"
15:44:36,10.15342917292121,"['BTC/BUSD', 'BTC/USDT']"
15:44:57,10.147269974895663,"['BTC/BUSD', 'BTC/USDT']"
15:45:18,10.18753143409697,"['ZIL/BUSD', 'ZIL/USD']"
15:45:40,10.188651398418218,"['VET/USDT', 'VET/USD']"
15:46:01,10.18977148586253,"['VET/USDT', 'VET/USD']"
15:46:22,10.184463460312399,"['BTC/BUSD', 'BTC/USDT']"
15:46:44,10.180987071109506,"['BTC/BUSD', 'BTC/USDT']"
15:47:05,10.175177853161678,"['BTC/BUSD', 'BTC/USDT']"
15:47:26,10.170589018914692,"['BTC/BUSD', 'BTC/USDT']"
15:47:48,10.195919630993362,"['ZIL/BUSD', 'ZIL/USD']"
15:48:09,10.221313330854569,"['ZIL/BUSD', 'ZIL/USD']"
15:48:30,10.246770275623147,"['ZIL/BUSD', 'ZIL/USD']"
15:48:52,10.272290622815268,"['ZIL/BUSD', 'ZIL/USD']"
15:49:13,10.297874530339403,"['ZIL/BUSD', 'ZIL/USD']"
15:49:34,10.323522156497312,"['ZIL/BUSD', 'ZIL/USD']"
15:49:55,10.32237229408465,"['BTC/BUSD', 'BTC/USDT']"
15:50:17,10.319018786444893,"['BTC/BUSD', 'BTC/USDT']"
15:50:38,10.317891402803362,"['BTC/BUSD', 'BTC/USDT']"
15:50:59,10.358829838933003,"['ZIL/BUSD', 'ZIL/USD']"
15:51:21,10.389587663079615,"['ZIL/BUSD', 'ZIL/USD']"
15:51:42,10.462056132786158,"['ZIL/BUSD', 'ZIL/USD']"
15:52:03,10.46238936701377,"['BTC/BUSD', 'BTC/USDT']"
15:52:25,10.461093093044127,"['BTC/BUSD', 'BTC/USDT']"
15:52:46,10.456844325174345,"['BTC/BUSD', 'BTC/USDT']"
15:53:07,10.456932865886879,"['BTC/BUSD', 'BTC/USDT']"
15:53:28,10.457021407349114,"['BTC/BUSD', 'BTC/USDT']"
15:53:50,10.454161877410183,"['BTC/BUSD', 'BTC/USDT']"
15:54:11,10.455412837304781,"['BTC/BUSD', 'BTC/USDT']"
15:54:32,10.452875620401686,"['BTC/BUSD', 'BTC/USDT']"
15:54:54,10.451933261377974,"['BTC/BUSD', 'BTC/USDT']"
15:55:15,10.449113433586461,"['BTC/BUSD', 'BTC/USDT']"
15:55:36,10.449315774739592,"['BTC/BUSD', 'BTC/USDT']"
15:55:58,10.449559168384516,"['BTC/BUSD', 'BTC/USDT']"
15:56:19,10.449973343247295,"['BTC/BUSD', 'BTC/USDT']"
15:56:40,10.450387534526156,"['BTC/BUSD', 'BTC/USDT']"
15:57:02,10.451037346135212,"['BTC/BUSD', 'BTC/USDT']"
15:57:23,10.449112102006518,"['BTC/BUSD', 'BTC/USDT']"
15:57:44,10.447462176668978,"['BTC/BUSD', 'BTC/USDT']"
15:58:06,10.44799240940989,"['BTC/BUSD', 'BTC/USDT']"
15:58:27,10.446776016355766,"['BTC/BUSD', 'BTC/USDT']"
15:58:48,10.444908649064601,"['BTC/BUSD', 'BTC/USD']"
15:59:10,10.441068284022764,"['BTC/BUSD', 'BTC/USDT']"
15:59:31,10.43722933099937,"['BTC/BUSD', 'BTC/USDT']"
15:59:52,10.433391789475253,"['BTC/BUSD', 'BTC/USDT']"
16:00:14,10.430780045308714,"['BTC/BUSD', 'BTC/USDT']"
16:00:35,10.427188140739398,"['BTC/BUSD', 'BTC/USDT']"
16:00:57,10.424788021371516,"['BTC/BUSD', 'BTC/USDT']"
16:01:18,10.422470867227029,"['BTC/BUSD', 'BTC/USDT']"
16:01:39,10.422011700489401,"['BTC/BUSD', 'BTC/USDT']"
16:02:01,10.422067212771434,"['BTC/BUSD', 'BTC/USDT']"
16:02:22,10.42007057809795,"['BTC/BUSD', 'BTC/USDT']"
16:02:43,10.418422637507245,"['BTC/BUSD', 'BTC/USDT']"
16:03:05,10.417159542198181,"['BTC/BUSD', 'BTC/USDT']"
16:03:26,10.415438552301996,"['BTC/BUSD', 'BTC/USDT']"
16:03:47,10.41415455244817,"['BTC/BUSD', 'BTC/USDT']"
16:04:09,10.419377934450337,"['ZIL/BUSD', 'ZIL/USD']"
16:04:30,10.424603936321393,"['ZIL/BUSD', 'ZIL/USD']"
16:04:51,10.429832559375377,"['ZIL/BUSD', 'ZIL/USD']"
16:05:13,10.435063804926985,"['ZIL/BUSD', 'ZIL/USD']"
16:05:34,10.440297674291568,"['ZIL/BUSD', 'ZIL/USD']"
16:05:56,10.445534168785143,"['ZIL/BUSD', 'ZIL/USD']"
16:06:17,10.450773289724385,"['ZIL/BUSD', 'ZIL/USD']"
16:06:38,10.456015038426628,"['ZIL/BUSD', 'ZIL/USD']"
16:07:00,10.461259416209867,"['ZIL/BUSD', 'ZIL/USD']"
16:07:21,10.46650642439276,"['ZIL/BUSD', 'ZIL/USD']"
16:07:42,10.471756064294626,"['ZIL/BUSD', 'ZIL/USD']"
16:08:04,10.477008337235441,"['ZIL/BUSD', 'ZIL/USD']"
16:08:25,10.48226324453585,"['ZIL/BUSD', 'ZIL/USD']"
16:08:47,10.487520787517157,"['ZIL/BUSD', 'ZIL/USD']"
16:09:08,10.492780967501329,"['ZIL/BUSD', 'ZIL/USD']"
16:09:29,10.498043785810994,"['ZIL/BUSD', 'ZIL/USD']"
16:09:51,10.503309243769447,"['ZIL/BUSD', 'ZIL/USD']"
16:10:12,10.508577342700645,"['ZIL/BUSD', 'ZIL/USD']"
16:10:33,10.51384808392921,"['ZIL/BUSD', 'ZIL/USD']"
16:10:54,10.519121468780426,"['ZIL/BUSD', 'ZIL/USD']"
16:11:16,10.524397498580244,"['ZIL/BUSD', 'ZIL/USD']"
16:11:37,10.529676174655279,"['ZIL/BUSD', 'ZIL/USD']"
